Revenue,LongtermdebtthEUR,ShareholdersfundsthEUR,ExportrevenuethEUR,TotalassetsthEUR,EBIT,ProfitLoss,InterestpaidthEUR,Exportshare,ROE,ROA,Indebt,Taxes
5703.501,4770.627,1440.523,0,6748.458,-36.864,6.089,21.443,0,-.025590705,-.0054625813,.70692104,-64.396004
6433.846,319.899,1443.64,0,7501.056,8.404999999999999,3.117,20.098,0,.0058220886,.0011205089,.042647194,-14.81
6977.892,282.829,1549.999,0,8040.994,-19.112,3.256,20.688,0,-.012330331,-.0023768207,.035173386,-43.056
8696.496999999999,270.845,1709.544,0,10018.437,-67.38200000000001,2.37,18.672,0,-.039415188,-.0067257998,.027034657,-88.424004
7443.071,348.975,1746.186,0,8741.127,-41.591,.642,16.581,0,-.023818195,-.0047580823,.03992334,-58.813999
7630.699,448.746,1748.755,0,8618.941999999999,-22.342,2.569,16.676,0,-.012775946,-.0025921976,.052065089,-41.587002
9321.388999999999,442.699,1748.236,0,10119.582,10.087,3.331,15.246,0,.0057698158,.00099678035,.043746766,-8.4899998
13521.364,370.973,2138.929,0,13071.155,353.815,379.715,11.166,0,.1654169,.02706838,.028381042,-37.066002
4582.538,1194.393,1068.22,0,5742.121,42.65,0,47.193,0,.039926231,.007427569,.20800555,-4.5430002
4946.643,567.26,1681.925,0,6913.337,38.982,450,41.694,0,.023177015,.0056386665,.082052991,-452.71201
3753.72,928.3150000000001,1682.203,0,6064.326,36.023,0,36.786,0,.021414181,.0059401491,.15307802,-.76300001
5947.076,856.228,1689.226,0,7267.585,16.677,0,33.095,0,.0098725688,.0022947099,.11781465,-16.417999
8903.776,495.878,1859.393,0,8609.319,24.977,0,26.304,0,.013432878,.0029011585,.05759782,-1.327
10252.156,526.696,2210.487,0,10633.644,27.723,0,33.247,0,.01254158,.0026071025,.049531091,-5.5240002
12072.523,446.535,2336.03,0,10489.871,23.288,0,27.42,0,.0099690501,.0022200465,.042568207,-4.132
13486.926,430.884,2398.9,0,12979.699,19.598,0,22.991,0,.0081695775,.0015098964,.033196762,-3.3929999
13477.36234,17101.51391,5746.28721,1666,27841.27048,869.41357,255.59995,467.33003,.12361469,.15130006,.03122751,.61425048,146.4836
8514.103999999999,619.731,5036.937,1193.899,11910.548,-78.682,53.316,52.616,.14022604,-.015621002,-.0066060773,.052032113,-184.614
10734.396,735.997,5297.211,7.434,13544.576,-2.658,4.816,58.61,.00069254014,-.00050177349,-.00019624092,.054338872,-66.084
9548.889999999999,1043.462,5267.534,0,13548.284,97.22799999999999,9.099,58.098,0,.018457973,.0071764071,.077018023,30.031
11782.917,0,6044.151,0,14866.439,83.925,41.749,71.791,0,.013885325,.0056452658,0,-29.615
10047.877,1310.974,6293.537,0,14390.74,-134.949,34.576,68.43600000000001,0,-.021442473,-.0093774889,.091098443,-237.961
12602.598,0,6363.949,1402.212,16115.592,6.341,12.435,60.253,.11126372,.00099639385,.00039346988,0,-66.347
9518.349,1225.302,6214.66,1217.517,13300.144,-159.325,-219.394,55.029,.12791263,-.025636962,-.011979193,.092126973,5.04
12710.42,971.763,9719.955,0,18653.833,6.53,0,45.77,0,.00067181379,.0003500621,.052094549,-39.240002
13408.887,710.662,9704.526,0,21212.434,-6.599,.644,32.643,0,-.00067999202,-.00031109113,.033502143,-39.886002
11939.496,146.372,10309.708,0,14597.911,799.944,950.614,7.79,0,.077591337,.054798525,.010026914,-158.46001
11360.53,521.819,10640.956,0,14472.932,903.1079999999999,1113.47,6.09,0,.084870949,.062399797,.036054824,-216.452
11259.186,345.135,10839.002,0,14135.532,894.37,990.997,16.542,0,.082514055,.063271053,.02441613,-113.169
10939.335,194.223,11207.919,0,14058.704,971.588,1316.402,10.865,0,.086687639,.069109358,.013815142,-355.67899
11866.366,323.286,11486.711,0,15477.574,1112.081,1267.844,9.34,0,.096814573,.071851119,.020887382,-165.103
12068.579,286.215,11697.489,0,15691.478,1176.009,1319.629,7.91,0,.10053517,.074945711,.018240156,-151.53
12561.563,288.511,11809.243,0,15356.379,1261.094,1284.386,4.876,0,.10678872,.082121834,.018787697,-28.167999
12828.065,290.826,11821.083,0,15392.855,1131.503,1168.423,4.203,0,.095719062,.073508322,.018893572,-41.123001
13390.935,293.16,12253.708,0,15866.428,1439.361,1457.445,3.351,0,.1174633,.090717398,.018476749,-21.434999
5795.336,5276.848,4740.154,0,10541.734,-126.819,-134.455,37.496,0,-.026754195,-.012030184,.50056738,-29.860001
8568.663,7364.324,4972.891,0,13328.71,385.169,.404,37.176,0,.07745374,.028897695,.55251586,347.58899
7361.02,7263.749,4964.362,0,12644.184,48.269,.444,68.00700000000001,0,.0097231027,.0038174863,.5744735,-20.181999
9254.596,612.168,5396.159,0,13705.294,316.001,.26,47.544,0,.058560356,.023056857,.044666536,268.19699
10123.078,648.768,5523.185,0,15285.915,423.239,127.026,34.14,0,.076629519,.02768817,.04244221,262.073
12349.015,986.73,5873.326,0,18527.433,326.248,149.944,31.274,0,.055547401,.017608915,.053257782,145.03
11611.37,1801.894,6148.912,0,17892.077,82.917,.161,36.295,0,.013484824,.0046342858,.10070904,46.460999
11997.352,1283.12,6446.439,0,17830.655,-30.157,.131,30.119,0,-.0046780868,-.0016913008,.071961462,-60.407001
13313.185,1003.068,6685.35,0,19744.022,156.671,120,25.725,0,.023434974,.0079351105,.050803632,10.946
9342.674999999999,1196.296,7368.992,8.364000000000001,19486.906,-143.201,-230.345,131.631,.00089524681,-.019432915,-.0073485756,.061389737,-44.487
10862.869,1194.296,7299.184,17.788,21585.748,112.681,24.612,118.354,.0016375048,.015437479,.0052201571,.055327989,-30.285
14450.814,2998.283,7465.652,48.033,22910.709,249.798,202.47,112.587,.0033238959,.033459637,.010903111,.1308682,-65.259003
8620.896000000001,972.215,6522.924,22.13,17091.261,-494.3,-487.886,41.987,.0025670186,-.075778902,-.028921213,.056883749,-48.401001
13521.291,713.569,6367.956,23.786,19883.361,-97.86199999999999,-154.36,35.57,.0017591516,-.015367882,-.0049218037,.035887744,20.927999
13194.794,421.992,6492.045,2.58,22288.497,85.752,125.225,31.328,.00019553165,.01320878,.0038473657,.018933175,-70.801003
8128.709,479.839,6220.839,4862.911,16274.994,414.957,148.696,115.638,.598239,.066704348,.025496598,.029483207,150.623
9492.323,680.356,6680.455,5528.513,17970.802,535.318,328.635,240.797,.5824194,.08013197,.029788209,.037858967,-34.113998
10157.026,643.668,7544.716,6240.554,17303.214,971.634,1040.993,110.647,.6144076,.12878338,.056153383,.037199333,-180.006
9714.723,0,8643.727999999999,5652.684,18714.854,1098.899,-118.367,86.099,.58186775,.12713253,.058718011,0,1131.167
9988.696,675.237,9657.517,6299.434,20188.401,815.818,625.784,73.256,.6306563,.084474921,.040410232,.033446781,116.778
11516.655,705.293,11051.376,7724.841,21902.59,1595.961,886.417,50.403,.6707539,.14441288,.072866313,.03220135,659.14099
11683.017,766.924,16898.455,8068.67,22782.189,1277.394,5721.38,39.205,.6906324,.075592354,.056069855,.033663314,-4483.1909
12753.412,733.5839999999999,18081.043,8142.585,25733.315,1542.638,1233.128,27.886,.63846326,.085317977,.059947114,.028507171,281.62399
13076.519,661.797,19170.615,9006.653,27811.579,1948.23,1401.351,21.652,.68876535,.10162584,.070051037,.023795737,525.22699
8445.040000000001,653.6130000000001,3830.221,0,11903.127,76.145,0,60.935,0,.019880055,.0063970587,.054911032,15.21
10743.927,407.422,3830.221,0,13469.609,72.491,0,39.743,0,.018926062,.0053818193,.0302475,32.748001
8312.128000000001,349.341,6549.117,937.306,16597.639,-7.79,37.121,32.192,.11276367,-.0011894733,-.00046934385,.021047631,-77.102997
13872.616,224.482,6549.118,1477.787,17685.904,52.933,0,26.545,.10652547,.0080824625,.0029929485,.012692708,26.388
13332.558,394.837,6759.841,2631.621,18904.458,59.295,0,21.935,.19738305,.0087716561,.0031365617,.02088592,37.360001
15394.192,756.818,7045.981,2674.591,21142.821,53.128,0,29.805,.17374027,.007540185,.0025128152,.035795506,23.323
14227.371,885.716,7050.98,2633.838,21356.599,101.39,0,34.366,.18512471,.014379562,.0047474788,.041472707,67.024002
13076.067,939.43,10196.787,0,23020.697,-28.484,1926.159,35.382,0,-.002793429,-.0012373214,.040808059,-1990.025
61854.576,60000,29685.159,40621.991,130944.081,3705.64,1866.812,1371.204,.65673381,.1248314,.028299408,.45821086,467.62399
71128.37300000001,84289.024,34220.015,45907.104,143725.136,7271.318,4206.825,1379.171,.64541197,.21248728,.050591834,.58645988,1685.322
77071.00900000001,90887.952,39109.739,51332.557,154395.593,8055.585,4405.338,774.3099999999999,.66604239,.20597389,.052174967,.58866936,2875.937
85095.844,106657.381,44249.103,55526.796,177009.702,10715.953,5949.395,1073.965,.65252066,.24217334,.060538787,.60255104,3692.593
104513.707,121812.012,51350.15,63699.255,204284.605,11428.904,6543.177,1133.721,.60948229,.22256808,.055945989,.59628582,3752.0061
114545.599,0,58823.628,75436.283,217828.202,12025.108,6980.765,1147.947,.65856987,.2044265,.055204552,0,3896.396
119737.2,143497.018,70230.143,94166.874,247106.478,19202.999,10873.455,1009.621,.78644627,.27342957,.077711433,.58070928,7319.9229
114109.094,0,76627.50599999999,90475.139,261693.878,10141.082,5636.291,400.747,.7928828,.13234258,.038751699,0,4104.0439
144071.689,0,88672.60799999999,101551.821,279787.163,19119.464,11469.914,309.007,.70487005,.21561861,.068335742,0,7340.543
17589.651,1228.467,2340.137,0,11429.34,535.578,214.848,259.354,0,.22886609,.046859924,.10748363,61.375999
19274.769,1150.447,2646.594,0,10065.943,863.246,351.537,203.226,0,.32617244,.085759081,.11429103,308.483
17669.395,5020.955,2882.974,0,11396.92,549.5839999999999,281.461,157.87,0,.19063093,.048222151,.44055367,110.253
16670.826,0,2847.595,0,10130.227,-123.046,9.701000000000001,174.376,0,-.043210499,-.012146421,0,-307.12299
16714.534,1182.913,2908.93,0,9972.691000000001,321.502,106.417,152.091,0,.11052243,.032238238,.11861522,62.993999
16448.645,979.028,2926.018,0,9683.962,277.465,62.168,133.309,0,.094826825,.028652012,.10109787,81.987999
16170.294,956.795,3089.744,0,10348.88,329.987,208.807,103.765,0,.10680076,.031886254,.092453964,17.415001
15652.925,706.8869999999999,3247.089,0,10742.925,145.228,202.426,93.736,0,.044725601,.013518479,.065800235,-150.93401
13070.703,435.089,3221.06,0,9423.516,87.23099999999999,19.052,87.398,0,.027081458,.0092567364,.046170559,-19.219
15164,3186,10429,4421.1,50225,-1447,-2167,526,.29155236,-.13874772,-.028810354,.063434541,194
13613,13042,6903,3926.7,49126,-2565,-3813,744,.28845221,-.37157756,-.052212678,.26548061,504
12847,5703,2726,3607.8,46392,37,-479,651,.28082821,.013573001,.0007975513,.12293068,-135
12996,33987,506,3225.6,44776,692,211,576,.24819945,1.3675889,.015454708,.759045,-95
9633.069,2487.99,2370.354,0,6999.374,19.275,.381,17.275,0,.0081316968,.0027538177,.35545895,1.619
10741.944,4462.414,2408.921,0,9091.406999999999,82.991,1.071,50.022,0,.034451526,.00912851,.49083865,31.898001
13180.269,0,2502.47,0,10032.533,-53.226,1.598,102.507,0,-.021269387,-.00530534,0,-157.33099
11722.431,0,3107.638,0,10711.286,80.114,.224,89.235,0,.025779707,.0074794008,0,-9.3450003
11693.731,1137.021,3287.154,0,10912.665,69.563,1.595,61.234,0,.021162076,.0063745198,.10419279,6.7340002
12796.48,6019.693,3287.154,0,12250.381,46.534,0,60.171,0,.014156319,.0037985758,.49138823,-13.637
10465.574,4569.334,7974.108,0,20424.074,-52.637,239.281,189.719,0,-.006600989,-.0025772038,.22372295,-481.63699
11966.523,3984.984,7970.227,0,21400.36,548.8150000000001,.005,205.623,0,.068858139,.025645129,.18621108,343.18701
10481.352,3476.383,8950.752,0,19844.898,217.243,7.27,158.383,0,.024270922,.010947046,.17517766,51.59
12119.77,3506.482,6300.726,0,18772.45,-1264.201,-2583.582,118.071,0,-.2006437,-.067343421,.18678872,1201.3101
9803.466,1027.304,6158.487,0,16852.149,59.379,5.134,97.92700000000001,0,.0096418159,.0035235269,.060959823,-43.681999
13420.107,629.679,6160.662,0,19496.422,211.008,.799,72.27500000000001,0,.034250863,.010822909,.032297157,137.93401
10647.987,514.422,7333.079,0,17541.327,131.355,1234.535,56.887,0,.017912667,.0074883159,.029326288,-1160.067
12326.519,655.163,7254.893,0,17348.898,87.771,26.21,43.697,0,.01209818,.0050591687,.037763953,17.864
12770.865,906.196,7208.829,0,17411.942,392.781,5.798,27.054,0,.054486103,.022558138,.052044511,359.92899
10808.88,954.179,8891.237999999999,0,17590.429,535.904,591.665,71.378,0,.060273271,.030465659,.054244213,-127.139
11459.661,3300.257,9524.895,327.815,16137.046,314.662,493.781,51.959,.028605994,.033035744,.019499356,.20451432,-231.078
11784.68,1166.843,9839.075999999999,0,17342.495,417.683,577.682,50.376,0,.042451445,.024084367,.067282304,-210.375
12171.046,1192.913,9749.588,0,16743.287,187.757,339.283,39.677,0,.019257942,.011213867,.071247242,-191.203
11985.52,1163.456,9913.907999999999,0,15226.868,216.667,379.653,32.806,0,.021854853,.014229256,.076408096,-195.79201
12607.211,886.134,9949.706,0,16428.123,168.392,328.658,25.858,0,.01692432,.010250228,.053940065,-186.12399
12198.975,1306.406,10001.546,0,15969.996,202.729,321.889,20.241,0,.020269766,.012694367,.081803776,-139.401
12716.703,285.183,10162.89,0,14573.85,303.518,365.153,14.335,0,.029865324,.020826206,.01956813,-75.970001
8017.345,4548.926,4292.018,0,10882.635,88.07899999999999,40,70.008,0,.020521583,.0080935359,.41799858,-21.929001
10360.121,411.49,4310.767,0,12168.416,43.168,.001,53.485,0,.010013995,.0035475448,.033816233,-10.318
8742.512000000001,461.068,4479.26,0,12166.443,68.422,0,55.811,0,.015275291,.0056238296,.037896696,12.611
12293.352,1009.676,4985.229,0,14150.662,461.487,419.165,58.414,0,.092570871,.032612398,.071351856,-16.091999
10415.466,1420.662,5384.588,0,14717.938,203.346,217.085,31.515,0,.037764449,.013816202,.096525885,-45.254002
10292.052,156.258,5652.553,0,13752.384,38.595,.803,12.254,0,.0068278881,.0028064225,.011362248,25.538
